"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT21","WT21_ATTRIBUTES"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-01","3.80",",,W"," 1550",",,X"," 1357",",,W","0.00",",,0,2400",,,,,,,"54",",,0","45",",,0","  270",",,X","  280",",,X","0.0",",,0","12.1",",,X","16.1",",,X","    1",",,X","    1",",,X",,,,,"    1",",,0","    1",",,X","    1",",,0","    1",",,X",,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-02","3.80",",,W"," 2348",",,X"," 0922",",,W","0.00",",,0,2400",,,,,,,"53",",,0","48",",,0","   90",",,X","  210",",,X","0.0",",,0","10.1",",,X","14.1",",,X","    1",",,X","    1",",,X",,,,,"    1",",,0","    1",",,X","    1",",,0","    1",",,X",,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-03","5.59",",,W"," 1344",",,X"," 1518",",,W","0.00","T,,0,2400",,,,,,,"60",",,0","50",",,0","  240",",,X","  290",",,X","0.0",",,0","12.1",",,X","16.1",",,X","    1",",,W",,,,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-04","4.03",",,W"," 1725",",,X"," 1623",",,W","0.00",",,0,2400",,,,,,,"63",",,0","46",",,0","  340",",,X","  310",",,X","0.0",",,0","14.1",",,X","21.0",",,X","    1",",,W",,,,,,,"    1",",,0","    1",",,X",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-05","4.70",",,W"," 1616",",,X"," 1617",",,W","0.00",",,0,2400",,,,,,,"58",",,0","42",",,0","  280",",,X","  290",",,X","0.0",",,0","13.0",",,X","15.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-06","4.92",",,W"," 1417",",,X"," 1711",",,W","0.00",",,0,2400",,,,,,,"59",",,0","45",",,0","  270",",,X","  290",",,X","0.0",",,0","13.0",",,X","15.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-07","4.92",",,W"," 1700",",,X"," 1950",",,W","0.00",",,0,2400",,,,,,,"63",",,0","46",",,0","  270",",,X","  290",",,X","0.0",",,0","12.1",",,X","16.1",",,X","    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-08","3.80",",,W"," 1443",",,X"," 1428",",,W","0.00",",,0,2400",,,,,,,"57",",,0","47",",,0","  270",",,X","  280",",,X","0.0",",,0","15.0",",,X","17.9",",,X","    1",",,X","    1",",,X",,,,,"    1",",,0","    1",",,X","    1",",,0","    1",",,X",,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-09","3.13",",,W"," 1558",",,X"," 1246",",,W","0.00",",,0,2400",,,,,,,"64",",,0","50",",,0","  270",",,X","  280",",,X","0.0",",,0","10.1",",,X","15.0",",,X","    1",",,W",,,,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-10","3.80",",,W"," 1439",",,X"," 1616",",,W","0.00",",,0,2400",,,,,,,"71",",,0","44",",,0","  230",",,X","  190",",,X","0.0",",,0","12.1",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,
